Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
Malware,IT,780527,Hacker Group,Zero-day,68,20.63
Ransomware,Telecommunications,667436,Insider,Social Engineering,11,56.37
Ransomware,Retail,440529,Insider,Weak Passwords,20,71.26
Man-in-the-Middle,Banking,194670,Nation-state,Social Engineering,29,3.47
DDoS,Banking,750875,Nation-state,Weak Passwords,30,53.59
Phishing,Retail,970373,Unknown,Social Engineering,58,75.95
Phishing,Retail,827399,Nation-state,Weak Passwords,25,44.98
Man-in-the-Middle,Education,416149,Insider,Unpatched Software,56,81.01
Ransomware,IT,506625,Insider,Weak Passwords,41,51.11
Phishing,Government,333027,Hacker Group,Zero-day,19,38.83
SQL Injection,Telecommunications,982269,Insider,Unpatched Software,51,89.93
Malware,Government,724903,Unknown,Weak Passwords,53,78.97
DDoS,Education,156823,Hacker Group,Social Engineering,1,26.82
DDoS,Education,244753,Insider,Zero-day,45,56.73
Malware,Retail,258554,Unknown,Social Engineering,72,71.15
Ransomware,Telecommunications,139407,Insider,Unpatched Software,41,97.9
Phishing,Education,206203,Hacker Group,Social Engineering,7,5.8
SQL Injection,Government,55635,Unknown,Weak Passwords,13,69.55
Ransomware,Education,55683,Hacker Group,Unpatched Software,19,11.42
Phishing,Banking,210006,Nation-state,Social Engineering,27,87.62
Man-in-the-Middle,Education,816455,Unknown,Unpatched Software,40,98.58
SQL Injection,IT,53147,Nation-state,Social Engineering,9,87.48
SQL Injection,Telecommunications,583514,Hacker Group,Zero-day,54,80.96
Ransomware,Government,688150,Unknown,Weak Passwords,58,85.43
Phishing,Government,809443,Insider,Weak Passwords,59,3.54
Malware,Government,78149,Nation-state,Weak Passwords,30,34.03
DDoS,Banking,113775,Insider,Weak Passwords,14,64.29
Ransomware,Banking,798498,Nation-state,Zero-day,54,54.97
Phishing,Education,267789,Insider,Weak Passwords,26,97.45
SQL Injection,Telecommunications,833840,Insider,Unpatched Software,6,30.19
DDoS,Banking,646433,Insider,Social Engineering,37,6.61
Man-in-the-Middle,Government,403770,Hacker Group,Weak Passwords,22,68.03
SQL Injection,Retail,814701,Hacker Group,Social Engineering,63,75.63
Ransomware,IT,666683,Hacker Group,Zero-day,34,72.29
DDoS,Banking,236438,Hacker Group,Weak Passwords,24,44.17
DDoS,Education,798113,Insider,Social Engineering,23,60.94
Malware,Healthcare,518982,Hacker Group,Weak Passwords,20,23.34
DDoS,IT,252225,Unknown,Unpatched Software,67,76.99
SQL Injection,Government,5346,Unknown,Zero-day,69,60.66
DDoS,Retail,4814,Unknown,Social Engineering,42,19.36
SQL Injection,Banking,772512,Hacker Group,Weak Passwords,42,50.61
Phishing,Education,16360,Nation-state,Unpatched Software,37,81.81
Phishing,Telecommunications,224143,Nation-state,Social Engineering,60,38.68
SQL Injection,IT,743325,Insider,Weak Passwords,9,52.35
Phishing,Education,597542,Unknown,Weak Passwords,11,81.47
Malware,Education,913591,Hacker Group,Zero-day,51,55.15
SQL Injection,IT,183702,Nation-state,Zero-day,57,8.24
Ransomware,Healthcare,685837,Insider,Social Engineering,68,42.26
Phishing,Healthcare,690500,Hacker Group,Weak Passwords,11,28.6
SQL Injection,Banking,520308,Insider,Zero-day,39,4.31
Phishing,Education,84643,Nation-state,Unpatched Software,53,17.43
Malware,Healthcare,762282,Hacker Group,Social Engineering,11,85.28
Malware,Education,427144,Unknown,Social Engineering,42,70.46
Man-in-the-Middle,Banking,800683,Nation-state,Unpatched Software,57,86.87
Man-in-the-Middle,Education,662101,Insider,Social Engineering,7,46.39
Malware,IT,977343,Hacker Group,Weak Passwords,47,30.72
Ransomware,Education,534013,Unknown,Unpatched Software,49,86.73
SQL Injection,Education,947933,Insider,Social Engineering,10,18.45
Malware,Retail,692167,Unknown,Weak Passwords,70,9.25
Malware,IT,320277,Unknown,Weak Passwords,69,23.16
Ransomware,Retail,163062,Unknown,Unpatched Software,43,49.75
Malware,Banking,801821,Unknown,Weak Passwords,18,25.76
Ransomware,Government,860664,Unknown,Zero-day,10,72.25
Man-in-the-Middle,Education,511823,Insider,Zero-day,43,20.85
Man-in-the-Middle,IT,952299,Unknown,Weak Passwords,33,93.13
Phishing,Education,982450,Unknown,Weak Passwords,32,5.27
DDoS,Retail,411083,Unknown,Weak Passwords,30,28.16
Man-in-the-Middle,Government,43140,Insider,Social Engineering,28,17.59
Malware,Education,935465,Nation-state,Weak Passwords,28,51.59
DDoS,Banking,52799,Insider,Zero-day,38,81.34
SQL Injection,Telecommunications,688312,Nation-state,Unpatched Software,48,70.02
Phishing,Government,219162,Hacker Group,Unpatched Software,23,5.18
Man-in-the-Middle,Telecommunications,740448,Hacker Group,Weak Passwords,26,60.01
Ransomware,Banking,596776,Nation-state,Zero-day,17,62.73
SQL Injection,Telecommunications,571454,Insider,Weak Passwords,42,56.2
DDoS,Government,787260,Insider,Weak Passwords,15,72.59
Malware,Healthcare,805745,Insider,Weak Passwords,7,19.79
SQL Injection,Telecommunications,377194,Unknown,Weak Passwords,50,35.02
Malware,Education,417554,Insider,Unpatched Software,35,37.07
SQL Injection,Government,252025,Hacker Group,Zero-day,60,65.85
Ransomware,Education,898251,Hacker Group,Weak Passwords,70,96.03
Man-in-the-Middle,Banking,551388,Unknown,Unpatched Software,51,74.27
DDoS,Banking,538245,Hacker Group,Weak Passwords,18,45.98
Malware,Telecommunications,838461,Nation-state,Zero-day,6,50.97
SQL Injection,Banking,912770,Unknown,Zero-day,67,68.05
DDoS,Education,62194,Nation-state,Zero-day,12,95.95
Man-in-the-Middle,Banking,416522,Insider,Social Engineering,63,15.01
DDoS,IT,530341,Insider,Social Engineering,40,70.49
Ransomware,IT,346939,Insider,Weak Passwords,21,73.1
Phishing,Banking,56333,Unknown,Social Engineering,8,78.45
Ransomware,IT,644913,Unknown,Weak Passwords,32,27.51
SQL Injection,Banking,295917,Unknown,Weak Passwords,57,18.01
Malware,Healthcare,54206,Insider,Unpatched Software,51,20.62
DDoS,Telecommunications,423071,Unknown,Unpatched Software,69,47.5
Man-in-the-Middle,Healthcare,687020,Unknown,Weak Passwords,48,17.62
Ransomware,Education,550317,Insider,Weak Passwords,63,77.09
Phishing,Banking,170032,Nation-state,Social Engineering,24,48.0
SQL Injection,Healthcare,388591,Unknown,Zero-day,68,11.55
DDoS,Healthcare,438318,Hacker Group,Unpatched Software,39,2.27
DDoS,Education,63389,Insider,Unpatched Software,20,1.71
Man-in-the-Middle,Retail,377602,Nation-state,Zero-day,15,95.66
SQL Injection,Government,467551,Unknown,Unpatched Software,61,42.75
Malware,Telecommunications,361529,Nation-state,Social Engineering,67,38.76
Man-in-the-Middle,Retail,677755,Hacker Group,Social Engineering,52,15.21
Man-in-the-Middle,IT,303838,Nation-state,Zero-day,56,66.25
Ransomware,Banking,339815,Insider,Weak Passwords,58,93.74
Ransomware,Banking,820140,Insider,Social Engineering,63,13.66
Ransomware,IT,879875,Insider,Zero-day,61,49.3
Man-in-the-Middle,Healthcare,987320,Unknown,Zero-day,44,40.94
SQL Injection,Government,772948,Unknown,Zero-day,43,13.51
Phishing,Healthcare,794914,Insider,Social Engineering,34,84.83
DDoS,Telecommunications,198563,Hacker Group,Social Engineering,24,36.98
DDoS,Retail,32346,Nation-state,Unpatched Software,38,21.45
Phishing,Banking,541829,Nation-state,Zero-day,33,18.39
Phishing,Telecommunications,446028,Hacker Group,Weak Passwords,37,21.22
Malware,Education,759625,Insider,Social Engineering,14,13.06
Phishing,Retail,520654,Nation-state,Social Engineering,53,3.18
DDoS,IT,248383,Insider,Social Engineering,55,99.64
Man-in-the-Middle,Banking,855974,Unknown,Social Engineering,44,62.39
Malware,Government,50842,Insider,Zero-day,59,84.23
Man-in-the-Middle,Education,697275,Nation-state,Weak Passwords,59,81.5
Man-in-the-Middle,Telecommunications,419912,Nation-state,Zero-day,40,0.54
Man-in-the-Middle,Banking,193620,Nation-state,Zero-day,67,65.8
SQL Injection,Banking,777684,Unknown,Zero-day,31,58.32
Malware,Healthcare,375245,Hacker Group,Social Engineering,20,27.61
Man-in-the-Middle,IT,656090,Insider,Unpatched Software,27,22.96
Man-in-the-Middle,IT,653967,Unknown,Unpatched Software,21,80.27
SQL Injection,Education,977791,Unknown,Weak Passwords,15,0.83
DDoS,Telecommunications,397687,Hacker Group,Social Engineering,65,81.91
Malware,Banking,719537,Nation-state,Zero-day,23,40.87
DDoS,Telecommunications,724790,Hacker Group,Unpatched Software,64,34.79
Phishing,IT,51723,Hacker Group,Weak Passwords,23,33.33
Ransomware,Healthcare,312340,Nation-state,Zero-day,35,18.26
Man-in-the-Middle,Banking,995025,Unknown,Weak Passwords,52,15.28
SQL Injection,Telecommunications,336356,Hacker Group,Unpatched Software,2,48.77
Ransomware,Retail,886212,Unknown,Weak Passwords,67,48.93
Ransomware,Healthcare,209358,Nation-state,Social Engineering,25,37.23
DDoS,Education,495616,Nation-state,Unpatched Software,38,69.24
SQL Injection,Government,224311,Insider,Zero-day,57,55.55
DDoS,IT,65516,Insider,Weak Passwords,37,51.95
Ransomware,Government,301972,Unknown,Weak Passwords,33,40.36
Phishing,Telecommunications,124250,Insider,Zero-day,64,47.04
Man-in-the-Middle,Healthcare,733934,Nation-state,Zero-day,31,22.61
Malware,IT,377446,Unknown,Zero-day,12,19.26
SQL Injection,IT,430792,Insider,Weak Passwords,9,98.57
Malware,IT,825881,Unknown,Zero-day,35,96.79
Malware,Telecommunications,858207,Nation-state,Unpatched Software,42,27.16
Ransomware,Healthcare,912847,Unknown,Weak Passwords,27,16.64
Malware,Banking,82287,Unknown,Unpatched Software,61,41.34
Man-in-the-Middle,Education,527938,Nation-state,Zero-day,1,44.85
DDoS,Telecommunications,645154,Insider,Weak Passwords,16,50.9
Ransomware,Retail,732636,Hacker Group,Zero-day,3,26.01
DDoS,Retail,26321,Nation-state,Zero-day,11,69.61
Ransomware,Banking,982507,Unknown,Unpatched Software,39,52.88
Malware,Retail,367712,Nation-state,Weak Passwords,13,11.57
DDoS,Telecommunications,236346,Insider,Unpatched Software,55,83.28
SQL Injection,Retail,287089,Nation-state,Weak Passwords,8,51.46
Malware,Healthcare,964191,Unknown,Weak Passwords,36,50.71
SQL Injection,Healthcare,55913,Nation-state,Social Engineering,70,52.68
Phishing,Government,850600,Insider,Zero-day,17,98.29
Phishing,Retail,201137,Hacker Group,Zero-day,25,45.57
Malware,Healthcare,859708,Nation-state,Weak Passwords,10,1.68
Phishing,Government,863777,Insider,Zero-day,20,2.74
SQL Injection,Banking,521384,Unknown,Social Engineering,32,67.37
SQL Injection,Government,474183,Insider,Weak Passwords,27,69.09
SQL Injection,Retail,829742,Insider,Unpatched Software,57,36.63
DDoS,Telecommunications,460842,Unknown,Weak Passwords,59,99.81
Malware,Retail,839881,Unknown,Zero-day,51,47.33
DDoS,IT,860625,Unknown,Zero-day,4,72.48
SQL Injection,Healthcare,263110,Insider,Social Engineering,6,65.47
Man-in-the-Middle,IT,506364,Nation-state,Social Engineering,66,13.61
Phishing,Education,176772,Insider,Unpatched Software,6,6.01
SQL Injection,Retail,564277,Nation-state,Weak Passwords,1,1.32
Man-in-the-Middle,Retail,36780,Insider,Unpatched Software,64,47.97
Ransomware,Retail,589744,Nation-state,Weak Passwords,32,46.82
Malware,Government,309230,Hacker Group,Social Engineering,61,59.01
Man-in-the-Middle,Telecommunications,4913,Hacker Group,Weak Passwords,61,53.59
SQL Injection,Education,350295,Insider,Unpatched Software,5,50.41
DDoS,Banking,998937,Nation-state,Zero-day,19,60.2
Malware,Telecommunications,445546,Nation-state,Weak Passwords,45,96.22
SQL Injection,Healthcare,486146,Insider,Zero-day,12,7.33
Phishing,Education,466333,Hacker Group,Zero-day,51,29.49
Phishing,Government,706019,Nation-state,Zero-day,65,73.35
DDoS,Retail,971464,Nation-state,Weak Passwords,4,70.03
Man-in-the-Middle,IT,224983,Nation-state,Weak Passwords,42,76.97
Ransomware,Telecommunications,919425,Nation-state,Unpatched Software,45,87.41
DDoS,Telecommunications,115138,Unknown,Unpatched Software,42,57.25
Phishing,IT,786468,Nation-state,Social Engineering,42,99.57
Phishing,Retail,620560,Hacker Group,Weak Passwords,59,5.11
Malware,Government,976007,Insider,Social Engineering,59,56.74
DDoS,Education,361163,Hacker Group,Zero-day,38,46.58
Ransomware,Healthcare,469735,Nation-state,Zero-day,57,54.78
Man-in-the-Middle,IT,117231,Unknown,Unpatched Software,28,46.27
Ransomware,Healthcare,276925,Unknown,Unpatched Software,54,14.38
Malware,Telecommunications,208089,Unknown,Zero-day,33,37.3
Phishing,Telecommunications,71720,Hacker Group,Zero-day,21,63.81
Ransomware,Telecommunications,236676,Nation-state,Social Engineering,67,35.62
Man-in-the-Middle,Telecommunications,409281,Nation-state,Weak Passwords,18,93.46
Phishing,Banking,612815,Insider,Zero-day,12,82.36
SQL Injection,Telecommunications,153618,Nation-state,Weak Passwords,29,11.32
Ransomware,Banking,704230,Nation-state,Zero-day,71,57.15
Malware,Retail,863510,Hacker Group,Weak Passwords,2,79.37
DDoS,Healthcare,488599,Unknown,Social Engineering,11,4.08
Ransomware,Healthcare,964782,Unknown,Weak Passwords,47,80.73
Man-in-the-Middle,IT,323027,Unknown,Unpatched Software,49,48.96
Man-in-the-Middle,Education,12970,Unknown,Social Engineering,32,10.55
Man-in-the-Middle,Government,659835,Unknown,Zero-day,46,50.19
SQL Injection,Telecommunications,336320,Hacker Group,Social Engineering,51,66.92
Man-in-the-Middle,Banking,83617,Insider,Unpatched Software,64,47.52
Malware,Banking,99178,Nation-state,Unpatched Software,27,87.13
Ransomware,Education,489369,Nation-state,Unpatched Software,41,80.1
Phishing,Telecommunications,620350,Hacker Group,Zero-day,45,2.22
DDoS,Healthcare,846602,Insider,Weak Passwords,31,38.14
Malware,Government,650042,Nation-state,Unpatched Software,48,61.02
Man-in-the-Middle,Government,549197,Hacker Group,Social Engineering,59,61.01
Phishing,IT,138639,Hacker Group,Unpatched Software,14,15.49
Man-in-the-Middle,Healthcare,833819,Insider,Unpatched Software,14,93.4
Malware,Retail,813217,Insider,Zero-day,71,13.88
Malware,Banking,636273,Insider,Zero-day,30,11.25
Man-in-the-Middle,Banking,45277,Insider,Social Engineering,43,66.53
Phishing,Telecommunications,488342,Hacker Group,Unpatched Software,23,89.41
Phishing,IT,526220,Nation-state,Social Engineering,2,55.31
DDoS,Education,311596,Insider,Weak Passwords,23,90.38
DDoS,Retail,658226,Insider,Weak Passwords,52,25.17
Phishing,Education,344693,Hacker Group,Social Engineering,19,6.29
Phishing,Education,380995,Unknown,Weak Passwords,60,37.57
Malware,Banking,458185,Insider,Social Engineering,31,3.1
Man-in-the-Middle,Education,581034,Insider,Social Engineering,67,91.69
Ransomware,Retail,722544,Hacker Group,Social Engineering,14,19.97
Phishing,IT,793783,Insider,Social Engineering,17,28.78
SQL Injection,IT,620822,Unknown,Zero-day,21,53.21
Ransomware,Healthcare,715102,Insider,Zero-day,2,16.6
Man-in-the-Middle,Banking,634390,Unknown,Zero-day,54,44.32
Ransomware,Government,791473,Nation-state,Weak Passwords,58,10.34
Phishing,IT,631816,Unknown,Weak Passwords,29,41.81
Malware,Banking,517353,Nation-state,Social Engineering,41,84.54
Malware,Telecommunications,118734,Insider,Unpatched Software,21,40.38
Man-in-the-Middle,Education,963367,Insider,Zero-day,50,39.15
SQL Injection,Telecommunications,71557,Insider,Social Engineering,47,22.51
Ransomware,Government,824704,Hacker Group,Zero-day,30,58.18
Man-in-the-Middle,Banking,1326,Nation-state,Social Engineering,11,92.48
Phishing,Banking,630931,Insider,Zero-day,48,51.38
Phishing,Government,395731,Insider,Unpatched Software,64,93.61
Ransomware,Government,918816,Unknown,Weak Passwords,58,27.38
Malware,Healthcare,357205,Nation-state,Weak Passwords,21,74.61
SQL Injection,IT,464960,Unknown,Unpatched Software,24,78.84
Ransomware,Telecommunications,51619,Insider,Unpatched Software,3,65.7
Phishing,IT,850794,Unknown,Social Engineering,69,81.04
Man-in-the-Middle,Banking,559841,Nation-state,Unpatched Software,22,27.2
DDoS,Healthcare,685136,Nation-state,Weak Passwords,62,86.38
Malware,Education,102797,Unknown,Weak Passwords,17,83.93
Ransomware,Healthcare,439046,Insider,Social Engineering,42,40.36
SQL Injection,Telecommunications,51312,Insider,Social Engineering,26,57.4
Ransomware,Retail,510870,Unknown,Unpatched Software,35,1.42
SQL Injection,Government,348118,Hacker Group,Zero-day,42,66.5
Ransomware,Healthcare,509930,Unknown,Social Engineering,68,47.18
Ransomware,IT,822380,Hacker Group,Zero-day,26,58.99
SQL Injection,Banking,619669,Unknown,Unpatched Software,19,52.91
SQL Injection,Telecommunications,341111,Insider,Weak Passwords,14,20.95
Ransomware,Government,443730,Hacker Group,Weak Passwords,39,2.79
DDoS,IT,824968,Insider,Weak Passwords,15,27.76
Man-in-the-Middle,Retail,172346,Nation-state,Social Engineering,51,58.77
DDoS,Telecommunications,919855,Hacker Group,Weak Passwords,56,51.95
Man-in-the-Middle,IT,254634,Hacker Group,Social Engineering,5,90.57
Phishing,Retail,724409,Unknown,Weak Passwords,56,39.15
Phishing,Healthcare,269142,Unknown,Unpatched Software,72,95.3
Phishing,Retail,32067,Insider,Unpatched Software,19,92.48
Malware,Government,591314,Hacker Group,Weak Passwords,65,32.2
SQL Injection,Healthcare,149171,Hacker Group,Zero-day,64,91.72
DDoS,IT,535205,Hacker Group,Social Engineering,53,13.52
Ransomware,Education,471889,Nation-state,Zero-day,4,87.93
Phishing,Healthcare,869751,Insider,Zero-day,12,52.18
DDoS,Education,690010,Nation-state,Weak Passwords,18,50.42
Ransomware,Healthcare,433987,Unknown,Zero-day,21,32.9
Phishing,Banking,31262,Unknown,Social Engineering,56,1.54
Malware,Retail,824433,Nation-state,Unpatched Software,60,32.26
Man-in-the-Middle,Retail,651963,Insider,Unpatched Software,53,23.28
SQL Injection,Education,349070,Unknown,Zero-day,41,81.06
Malware,Telecommunications,967411,Hacker Group,Social Engineering,47,71.42
SQL Injection,Retail,263770,Unknown,Social Engineering,62,64.81
Phishing,Retail,714670,Hacker Group,Weak Passwords,32,85.89
DDoS,Telecommunications,498904,Hacker Group,Zero-day,65,47.84
Phishing,Education,569539,Unknown,Weak Passwords,18,47.95
Man-in-the-Middle,Retail,217938,Nation-state,Weak Passwords,69,82.52
Ransomware,Retail,172607,Unknown,Zero-day,60,36.48
Man-in-the-Middle,Retail,424762,Insider,Unpatched Software,10,95.66
Man-in-the-Middle,IT,130309,Insider,Zero-day,56,42.34
DDoS,Government,95378,Insider,Social Engineering,67,65.11
Phishing,IT,920801,Nation-state,Zero-day,52,53.95
Man-in-the-Middle,Retail,551038,Insider,Social Engineering,21,91.36
Malware,Telecommunications,962508,Unknown,Social Engineering,13,85.8
Malware,Healthcare,267554,Hacker Group,Social Engineering,45,92.29
Ransomware,IT,76258,Unknown,Social Engineering,43,25.3
Malware,Banking,661377,Hacker Group,Weak Passwords,66,3.6
SQL Injection,Retail,310341,Unknown,Weak Passwords,32,56.62
Phishing,Education,702883,Insider,Unpatched Software,31,66.25
Malware,Education,516103,Hacker Group,Unpatched Software,62,78.38
Malware,Retail,542283,Hacker Group,Social Engineering,64,84.7
SQL Injection,Government,173441,Hacker Group,Social Engineering,43,43.75
DDoS,Retail,856228,Hacker Group,Zero-day,47,67.36
Malware,IT,791265,Hacker Group,Social Engineering,65,68.54
Malware,Retail,969699,Hacker Group,Social Engineering,63,45.42
Malware,Telecommunications,338867,Nation-state,Unpatched Software,34,95.0
Ransomware,Government,951249,Hacker Group,Weak Passwords,25,44.98
Ransomware,IT,34584,Insider,Zero-day,43,50.4
Malware,Education,298836,Hacker Group,Social Engineering,29,74.37
Malware,Retail,526161,Unknown,Unpatched Software,12,27.82
Phishing,Government,476308,Insider,Social Engineering,44,76.95
SQL Injection,Banking,206897,Unknown,Zero-day,18,29.39
Malware,IT,2653,Nation-state,Unpatched Software,56,1.92
Ransomware,Healthcare,540353,Hacker Group,Unpatched Software,68,90.37
Phishing,Retail,779922,Nation-state,Zero-day,50,84.77
Ransomware,Education,908906,Hacker Group,Weak Passwords,46,24.4
Man-in-the-Middle,Healthcare,446741,Nation-state,Weak Passwords,20,28.34
Phishing,Education,317488,Insider,Social Engineering,46,9.95
Phishing,IT,182613,Unknown,Unpatched Software,26,72.33
Ransomware,IT,211305,Hacker Group,Zero-day,27,61.42
DDoS,Government,60379,Hacker Group,Unpatched Software,32,68.83
Ransomware,Healthcare,785179,Unknown,Weak Passwords,2,11.11
SQL Injection,Telecommunications,652682,Insider,Social Engineering,46,1.99
SQL Injection,Banking,52649,Nation-state,Unpatched Software,57,5.85
Man-in-the-Middle,Government,865871,Insider,Weak Passwords,58,45.75
DDoS,Retail,474552,Nation-state,Zero-day,20,93.71
SQL Injection,Healthcare,400840,Insider,Social Engineering,57,5.7
Phishing,Education,275819,Nation-state,Social Engineering,69,60.57
DDoS,Retail,454088,Hacker Group,Social Engineering,70,89.79
Phishing,Government,338619,Hacker Group,Unpatched Software,68,30.68
Malware,Banking,940038,Hacker Group,Zero-day,24,31.56
DDoS,Government,17805,Nation-state,Weak Passwords,31,98.73
SQL Injection,Telecommunications,244933,Nation-state,Social Engineering,37,92.13
Phishing,Retail,198602,Unknown,Zero-day,18,71.14
DDoS,Retail,504861,Unknown,Weak Passwords,65,73.85
Malware,Telecommunications,695618,Nation-state,Social Engineering,14,91.24
Man-in-the-Middle,Healthcare,270732,Unknown,Weak Passwords,31,5.4
Phishing,Retail,270326,Nation-state,Social Engineering,24,77.58
Man-in-the-Middle,Government,827534,Hacker Group,Unpatched Software,29,80.95
Man-in-the-Middle,Retail,32499,Insider,Zero-day,14,46.07
Malware,Telecommunications,279065,Hacker Group,Unpatched Software,62,52.2
Ransomware,Telecommunications,119598,Insider,Unpatched Software,43,49.56
SQL Injection,Education,387500,Nation-state,Weak Passwords,30,61.78
Phishing,Education,656031,Nation-state,Social Engineering,36,66.07
Ransomware,Education,637259,Unknown,Zero-day,57,85.72
SQL Injection,Education,623106,Nation-state,Weak Passwords,43,0.98
DDoS,Education,513867,Unknown,Zero-day,34,21.74
Man-in-the-Middle,Healthcare,710871,Insider,Zero-day,55,7.54
Malware,Healthcare,875225,Unknown,Zero-day,31,7.08
Malware,Retail,989625,Unknown,Social Engineering,53,71.2
DDoS,Education,210433,Insider,Weak Passwords,63,89.08
Malware,IT,709153,Hacker Group,Weak Passwords,45,26.31
Ransomware,IT,568832,Nation-state,Social Engineering,12,21.11
Phishing,Retail,355545,Unknown,Weak Passwords,68,51.76
Phishing,Education,112635,Insider,Weak Passwords,55,90.91
SQL Injection,Banking,988268,Unknown,Zero-day,44,89.39
Malware,Education,357399,Nation-state,Zero-day,2,65.87
Man-in-the-Middle,Government,512258,Hacker Group,Weak Passwords,32,78.16
Ransomware,Healthcare,180760,Nation-state,Weak Passwords,34,24.21
Man-in-the-Middle,Retail,691638,Unknown,Zero-day,17,81.16
Ransomware,IT,123757,Insider,Social Engineering,54,80.18
DDoS,Telecommunications,702285,Hacker Group,Zero-day,46,70.0
DDoS,Education,907708,Unknown,Unpatched Software,44,9.73
DDoS,Healthcare,713160,Hacker Group,Unpatched Software,26,4.49
Malware,Banking,239200,Nation-state,Social Engineering,8,46.75
DDoS,Healthcare,500521,Nation-state,Weak Passwords,27,63.15
Phishing,IT,741259,Hacker Group,Unpatched Software,18,25.47
SQL Injection,Education,604843,Insider,Unpatched Software,40,3.97
SQL Injection,Education,697610,Insider,Weak Passwords,18,19.17
SQL Injection,IT,730850,Hacker Group,Weak Passwords,27,58.35
SQL Injection,IT,417807,Insider,Social Engineering,46,65.08
Malware,Healthcare,58205,Hacker Group,Unpatched Software,63,3.74
SQL Injection,Healthcare,830670,Unknown,Social Engineering,11,33.11
Ransomware,Government,691990,Insider,Weak Passwords,41,57.7
Ransomware,Retail,498089,Insider,Weak Passwords,18,74.68
Ransomware,IT,748040,Insider,Weak Passwords,18,86.82
Ransomware,Healthcare,909979,Nation-state,Social Engineering,65,4.51
Man-in-the-Middle,Banking,286038,Nation-state,Social Engineering,43,27.0
SQL Injection,Retail,479586,Insider,Zero-day,8,82.88
Phishing,Banking,454763,Hacker Group,Social Engineering,14,42.03
Phishing,Telecommunications,60183,Nation-state,Unpatched Software,17,33.85
Phishing,Education,596801,Nation-state,Weak Passwords,70,94.6
Ransomware,IT,698786,Hacker Group,Zero-day,21,71.9
DDoS,Telecommunications,441749,Nation-state,Unpatched Software,55,94.23
SQL Injection,Healthcare,966102,Hacker Group,Social Engineering,1,76.4
Malware,Healthcare,430200,Unknown,Zero-day,48,66.29
Ransomware,Banking,638668,Nation-state,Social Engineering,47,49.89
DDoS,Healthcare,127817,Nation-state,Weak Passwords,66,81.91
Man-in-the-Middle,Government,491794,Nation-state,Zero-day,4,14.54
Ransomware,IT,737958,Hacker Group,Social Engineering,54,33.44
DDoS,Education,724207,Hacker Group,Weak Passwords,54,31.74
SQL Injection,Healthcare,451780,Hacker Group,Unpatched Software,28,78.11
Man-in-the-Middle,Healthcare,875227,Unknown,Zero-day,20,8.25
Malware,Banking,334945,Nation-state,Weak Passwords,33,17.52
DDoS,IT,525978,Unknown,Weak Passwords,12,81.89
Phishing,Retail,761252,Insider,Weak Passwords,57,37.29
Phishing,Government,168075,Insider,Social Engineering,52,38.87
Ransomware,Banking,443408,Hacker Group,Weak Passwords,71,6.57
DDoS,IT,60917,Unknown,Zero-day,1,17.99
Man-in-the-Middle,Banking,839892,Nation-state,Weak Passwords,20,59.54
Ransomware,Government,673933,Unknown,Zero-day,22,72.14
Ransomware,Education,534283,Insider,Social Engineering,49,84.64
DDoS,Education,49715,Insider,Unpatched Software,72,32.2
SQL Injection,Banking,297461,Hacker Group,Zero-day,15,1.16
SQL Injection,Healthcare,861410,Unknown,Social Engineering,7,48.71
DDoS,Telecommunications,547178,Insider,Social Engineering,45,14.28
Ransomware,Banking,273660,Insider,Weak Passwords,6,37.38
Phishing,IT,195113,Unknown,Unpatched Software,4,23.01
Man-in-the-Middle,Banking,881294,Insider,Unpatched Software,3,9.77
Phishing,Government,146937,Hacker Group,Social Engineering,10,58.64
Phishing,Healthcare,72191,Unknown,Weak Passwords,3,11.29
Man-in-the-Middle,Government,898589,Hacker Group,Zero-day,58,90.65
Malware,Telecommunications,430306,Nation-state,Weak Passwords,67,30.66
DDoS,IT,835814,Insider,Weak Passwords,40,27.02
SQL Injection,IT,837322,Insider,Zero-day,25,56.07
SQL Injection,Telecommunications,299403,Unknown,Unpatched Software,23,10.88
Man-in-the-Middle,Government,482492,Unknown,Social Engineering,17,96.13
DDoS,IT,777010,Hacker Group,Weak Passwords,34,88.61
DDoS,IT,806210,Unknown,Weak Passwords,5,73.5
Malware,Government,281616,Nation-state,Unpatched Software,6,1.17
Ransomware,Banking,827952,Hacker Group,Unpatched Software,21,42.02
Malware,Retail,179586,Hacker Group,Social Engineering,27,59.15
Phishing,Retail,725905,Hacker Group,Zero-day,54,26.63
DDoS,Healthcare,723411,Hacker Group,Weak Passwords,40,30.49
Malware,Banking,141437,Nation-state,Weak Passwords,10,14.01
DDoS,Government,441744,Unknown,Weak Passwords,40,49.88
Malware,Telecommunications,936738,Insider,Weak Passwords,8,4.84
Malware,Education,822636,Insider,Social Engineering,63,75.51
Malware,Banking,843891,Unknown,Weak Passwords,31,68.32
DDoS,Healthcare,82576,Nation-state,Weak Passwords,40,6.37
Ransomware,Banking,759522,Unknown,Weak Passwords,39,97.53
Ransomware,Banking,860343,Hacker Group,Weak Passwords,42,12.22
Malware,Government,14483,Nation-state,Weak Passwords,36,55.72
Malware,Telecommunications,871255,Hacker Group,Social Engineering,24,67.77
Man-in-the-Middle,Government,48647,Unknown,Zero-day,48,98.86
